                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.56104,                0.35045,                0.95729,                0.99524,                0.87087,                0.97497,                0.86728,                0.44078,                0.30363,                 0.9189,              0.0008045,              0.0008045,              0.0008045
                     38,                0.55964,                0.36427,                 0.9629,                0.99532,                 0.8523,                0.96065,                0.85817,                 0.4807,                0.38657,                0.93566,             0.00079213,             0.00079213,             0.00079213
                     39,                0.54765,                 0.3527,                0.95581,                0.99644,                0.79555,                0.87454,                0.77505,                0.46575,                0.55695,                0.93162,             0.00077975,             0.00077975,             0.00077975
                     40,                0.56258,                0.36091,                0.96243,                0.99627,                0.87451,                 0.9804,                0.87694,                0.47097,                0.39243,                0.93476,             0.00076738,             0.00076738,             0.00076738
                     41,                0.54454,                0.34628,                 0.9516,                0.99633,                0.87294,                0.96239,                0.86376,                0.45645,                0.36096,                0.93414,               0.000755,               0.000755,               0.000755
                     42,                0.55168,                0.33985,                0.95931,                0.99623,                0.87388,                 0.9779,                 0.8726,                0.44597,                0.33755,                0.92534,             0.00074263,             0.00074263,             0.00074263
                     43,                0.55266,                0.33736,                0.95845,                 0.9962,                0.76824,                 0.8929,                0.78623,                0.50286,                0.66698,                0.95594,             0.00073025,             0.00073025,             0.00073025
                     44,                0.53742,                0.33837,                0.94301,                0.99631,                0.95214,                  0.995,                0.90715,                0.41289,                0.29791,                0.90778,             0.00071788,             0.00071788,             0.00071788
                     45,                0.53473,                0.33309,                 0.9446,                0.99631,                0.87762,                  0.995,                0.90313,                0.45776,                0.39793,                0.92078,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.5415,                0.33706,                0.95782,                0.99632,                0.88403,                0.99352,                0.90766,                0.43531,                 0.4549,                0.91386,             0.00069313,             0.00069313,             0.00069313
                     47,                0.52698,                 0.3279,                0.94683,                0.99631,                0.80386,                0.94194,                 0.8484,                0.43725,                0.43134,                0.91461,             0.00068075,             0.00068075,             0.00068075
                     48,                0.51686,                0.31852,                0.94056,                0.89974,                0.97333,                0.98041,                0.88415,                0.45359,                0.35594,                0.92632,             0.00066838,             0.00066838,             0.00066838
                     49,                0.53803,                0.32899,                 0.9546,                0.99633,                 0.7991,                0.91182,                0.82767,                0.44385,                0.48864,                0.91537,               0.000656,               0.000656,               0.000656
                     50,                0.52667,                0.32346,                0.94605,                0.98266,                0.77689,                0.83296,                0.73157,                0.46938,                 0.6129,                0.93475,             0.00064362,             0.00064362,             0.00064362
                     51,                0.51627,                0.31072,                0.94511,                 0.9963,                0.81506,                0.92016,                0.82406,                0.46601,                0.48979,                   0.93,             0.00063125,             0.00063125,             0.00063125
                     52,                0.52296,                0.31142,                 0.9452,                0.99634,                0.85899,                0.93297,                0.84288,                0.45164,                0.43563,                0.92532,             0.00061887,             0.00061887,             0.00061887
                     53,                0.52928,                0.32498,                0.94571,                0.98607,                0.79849,                0.90691,                0.80126,                0.46717,                0.53463,                0.94058,              0.0006065,              0.0006065,              0.0006065
                     54,                0.52381,                0.31197,                0.94622,                0.99634,                0.88438,                0.99035,                0.87322,                 0.4848,                0.34779,                0.94115,             0.00059413,             0.00059413,             0.00059413
                     55,                0.52436,                0.31573,                0.95034,                0.99626,                0.79647,                0.90377,                0.82045,                0.45542,                0.54912,                0.91684,             0.00058175,             0.00058175,             0.00058175
                     56,                0.51066,                0.31013,                0.93625,                0.91728,                0.83036,                0.89658,                0.80388,                0.48463,                0.67352,                0.92593,             0.00056938,             0.00056938,             0.00056938
                     57,                0.51342,                0.30897,                0.93829,                0.99625,                0.79258,                0.92633,                0.82892,                0.44902,                0.47906,                0.92068,               0.000557,               0.000557,               0.000557
                     58,                0.52481,                0.30678,                0.94354,                0.99632,                0.85535,                0.98658,                0.88857,                0.45264,                0.36718,                0.92073,             0.00054463,             0.00054463,             0.00054463
                     59,                0.50531,                0.30498,                0.93941,                0.99618,                0.79729,                0.90952,                0.81553,                0.44821,                 0.4622,                0.91876,             0.00053225,             0.00053225,             0.00053225
                     60,                0.51862,                0.29603,                0.94233,                0.99637,                0.78723,                0.89262,                0.80637,                 0.4558,                0.57814,                0.92032,             0.00051988,             0.00051988,             0.00051988
                     61,                0.51362,                0.29997,                 0.9361,                0.99634,                0.78123,                0.90424,                0.79367,                0.51209,                0.72414,                0.94638,              0.0005075,              0.0005075,              0.0005075
                     62,                0.52517,                0.29397,                0.94973,                0.99634,                0.76646,                0.89758,                0.80248,                0.47248,                0.74655,                0.93282,             0.00049513,             0.00049513,             0.00049513
